year DOY HR MN      v     d      beta     ma
2020  78  8 57   371.9   6.41   3.44  10.9
2020  78  8 58 99999.9 999.99 999.99 999.9
2020  78  8 59 99999.9 999.99 999.99 999.9
2020  78  9  0 99999.9 999.99 999.99 999.9
2020  78  9  1 99999.9 999.99 999.99 999.9
2020  78  9  2   379.2   6.20   2.73  10.6
2020  78  9  3   379.2   6.20   2.73  10.6
2020  78  9  4   379.2   6.20   2.63  10.4
2020  78  9  5   377.7   5.96   2.38  10.4
2020  78  9  6   377.7   5.96   2.41  10.5
2020  78  9  7 99999.9 999.99 999.99 999.9
2020  78  9  8 99999.9 999.99 999.99 999.9
